CC,RMSE,PBIAS,NSE,lead_time
0.9958619699062551,1.39225501488773,-2.2287188282666093,0.9913714863852898,1.0
0.9932501908372112,1.7718331594297672,-2.7053441118378387,0.9860221686923032,2.0
0.9891087791810558,2.2449692664399254,-3.302663495429872,0.9775581807248828,3.0
0.9834123141332437,2.76633001510731,-4.024199187916726,0.9659254215488221,4.0
0.9759549828179652,3.3275815310414507,-4.804592389094113,0.9507044491447584,5.0
0.9663759472016787,3.9361531359735804,-5.516218113652143,0.9310451924625505,6.0
0.9541270391669234,4.613174106010013,-6.037626574984433,0.9053260876986035,7.0
0.9390633237171417,5.36569424764993,-6.300354405359375,0.8719894615855128,8.0
0.9218448436344581,6.171565047933027,-6.326903208322718,0.8306211571051154,9.0
0.9036503542250595,6.993782263217176,-6.240170113979832,0.7824655289959916,10.0
0.8858817779900976,7.778164478448479,-6.182815582714307,0.7309200835677161,11.0
0.8698815164460123,8.472220045169184,-6.257127109908271,0.6807374008810074,12.0
0.8562949058719418,9.05011090721779,-6.509147374851701,0.6356554942711584,13.0
0.845173730147275,9.512634448532062,-6.9534641730985784,0.5974307947629082,14.0
0.8360812892042467,9.876719557228219,-7.564623002317562,0.565989488560811,15.0
0.8289810543805963,10.15321322232486,-8.283602396995496,0.5413167671312157,16.0
0.8233582595974286,10.36467514390557,-9.066476167138616,0.5219837970791712,17.0
0.8189161341970017,10.526372554500753,-9.877387902110097,0.5069259886797259,18.0
